1.000000000000000056e-01,1.100000000000000089e+00,2.000000000000000111e-01,0.000000000000000000e+00,6.999999999999999556e-01,1.199999999999999956e+00,2.500000000000000000e+01,5.999999999999999778e-01,9.000000000000000222e-01,1.399999999999999911e+00,6.999999999999999556e-01,9.800000000000000711e+00,4.000000000000000222e-01,1.000000000000000056e-01,1.800000000000000044e+00,nan,5.999999999999999778e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.100000000000000089e+00,2.399999999999999911e+00
1.000000000000000056e-01,5.000000000000000000e-01,0.000000000000000000e+00,1.000000000000000056e-01,5.000000000000000000e-01,6.999999999999999556e-01,1.000000000000000000e+01,5.000000000000000000e-01,9.000000000000000222e-01,1.399999999999999911e+00,6.999999999999999556e-01,2.100000000000000089e+00,5.000000000000000000e-01,1.000000000000000056e-01,1.600000000000000089e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,1.500000000000000000e+00
1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.000000000000000000e-01,5.799999999999999822e+00,9.000000000000000222e-01,1.000000000000000000e+00,1.500000000000000000e+00,6.999999999999999556e-01,4.099999999999999645e+00,8.000000000000000444e-01,2.000000000000000111e-01,1.500000000000000000e+00,nan,9.000000000000000222e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,1.100000000000000089e+00
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.000000000000000222e-01,4.299999999999999822e+00,5.999999999999999778e-01,1.300000000000000044e+00,1.500000000000000000e+00,5.999999999999999778e-01,2.800000000000000000e+01,1.000000000000000000e+00,1.000000000000000056e-01,1.500000000000000000e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,9.000000000000000222e-01,9.000000000000000222e-01
1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,0.000000000000000000e+00,5.000000000000000000e-01,4.000000000000000222e-01,3.500000000000000000e+00,6.999999999999999556e-01,4.099999999999999645e+00,1.500000000000000000e+00,5.000000000000000000e-01,7.400000000000000355e+00,8.000000000000000444e-01,1.000000000000000056e-01,1.500000000000000000e+00,nan,5.999999999999999778e-01,1.000000000000000056e-01,1.000000000000000056e-01,9.000000000000000222e-01,8.000000000000000444e-01
1.000000000000000056e-01,4.200000000000000178e+00,2.000000000000000111e-01,0.000000000000000000e+00,5.999999999999999778e-01,4.000000000000000222e-01,3.100000000000000089e+00,8.000000000000000444e-01,2.600000000000000089e+00,2.200000000000000178e+00,5.000000000000000000e-01,6.099999999999999645e+00,6.999999999999999556e-01,1.000000000000000056e-01,4.800000000000000000e+01,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,2.500000000000000000e+00,6.999999999999999556e-01
1.000000000000000056e-01,5.799999999999999822e+00,6.599999999999999645e+00,0.000000000000000000e+00,5.999999999999999778e-01,5.700000000000000178e+00,2.700000000000000178e+00,8.199999999999999289e+00,1.899999999999999911e+00,2.200000000000000178e+00,5.000000000000000000e-01,3.200000000000000000e+01,1.699999999999999956e+00,1.000000000000000056e-01,1.200000000000000000e+01,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.899999999999999911e+00,6.999999999999999556e-01
1.000000000000000056e-01,1.899999999999999911e+00,3.399999999999999911e+00,0.000000000000000000e+00,5.000000000000000000e-01,5.400000000000000355e+00,2.399999999999999911e+00,5.599999999999999645e+00,1.800000000000000044e+00,2.100000000000000089e+00,5.999999999999999778e-01,8.199999999999999289e+00,2.399999999999999911e+00,2.000000000000000111e-01,5.500000000000000000e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.399999999999999911e+00,5.999999999999999778e-01
1.000000000000000056e-01,1.300000000000000044e+00,1.199999999999999956e+00,0.000000000000000000e+00,8.000000000000000444e-01,2.200000000000000178e+00,2.000000000000000000e+00,2.000000000000000000e+00,1.899999999999999911e+00,1.899999999999999911e+00,5.999999999999999778e-01,9.300000000000000711e+00,1.600000000000000089e+00,1.100000000000000089e+00,3.700000000000000178e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.199999999999999956e+00,5.999999999999999778e-01
1.000000000000000056e-01,1.100000000000000089e+00,5.999999999999999778e-01,0.000000000000000000e+00,8.000000000000000444e-01,1.500000000000000000e+00,2.700000000000000178e+00,5.000000000000000000e+01,4.900000000000000355e+00,1.899999999999999911e+00,5.999999999999999778e-01,6.099999999999999645e+00,1.100000000000000089e+00,5.999999999999999778e-01,2.799999999999999822e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.199999999999999956e+00,5.999999999999999778e-01
2.000000000000000111e-01,6.999999999999999556e-01,6.999999999999999556e-01,0.000000000000000000e+00,8.000000000000000444e-01,1.100000000000000089e+00,2.000000000000000000e+00,3.130000000000000000e+02,3.000000000000000000e+00,1.800000000000000044e+00,5.999999999999999778e-01,3.399999999999999911e+00,1.399999999999999911e+00,1.000000000000000000e+00,2.299999999999999822e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000000e+00,5.999999999999999778e-01
2.000000000000000111e-01,5.999999999999999778e-01,5.000000000000000000e-01,0.000000000000000000e+00,8.000000000000000444e-01,1.199999999999999956e+00,1.699999999999999956e+00,2.200000000000000000e+01,4.099999999999999645e+00,1.800000000000000044e+00,5.999999999999999778e-01,2.799999999999999822e+00,1.100000000000000089e+00,2.399999999999999911e+00,2.000000000000000000e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01
2.000000000000000111e-01,5.999999999999999778e-01,4.000000000000000222e-01,0.000000000000000000e+00,8.000000000000000444e-01,1.000000000000000000e+00,1.500000000000000000e+00,9.199999999999999289e+00,3.200000000000000178e+00,1.600000000000000089e+00,8.000000000000000444e-01,3.000000000000000000e+00,1.000000000000000000e+00,1.899999999999999911e+00,1.800000000000000044e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01
2.000000000000000111e-01,4.000000000000000222e-01,2.999999999999999889e-01,0.000000000000000000e+00,1.600000000000000089e+00,9.000000000000000222e-01,1.399999999999999911e+00,6.099999999999999645e+00,2.399999999999999911e+00,1.500000000000000000e+00,1.300000000000000044e+00,6.700000000000000178e+00,9.000000000000000222e-01,1.399999999999999911e+00,1.800000000000000044e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01
2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,0.000000000000000000e+00,1.300000000000000044e+00,9.000000000000000222e-01,1.399999999999999911e+00,4.000000000000000000e+00,2.200000000000000178e+00,1.800000000000000044e+00,1.100000000000000089e+00,3.799999999999999822e+00,1.100000000000000089e+00,1.000000000000000000e+00,1.699999999999999956e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000444e-01,6.999999999999999556e-01
2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,0.000000000000000000e+00,1.000000000000000000e+00,3.000000000000000000e+00,1.800000000000000044e+00,3.500000000000000000e+00,2.100000000000000089e+00,6.099999999999999645e+00,9.000000000000000222e-01,3.000000000000000000e+00,1.500000000000000000e+00,8.000000000000000444e-01,2.000000000000000000e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01
2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,0.000000000000000000e+00,8.000000000000000444e-01,3.100000000000000089e+00,3.399999999999999911e+00,3.000000000000000000e+00,1.899999999999999911e+00,3.399999999999999911e+00,8.000000000000000444e-01,2.399999999999999911e+00,2.399999999999999911e+00,8.000000000000000444e-01,1.800000000000000044e+00,nan,1.300000000000000044e+00,1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000444e-01,5.999999999999999778e-01
2.000000000000000111e-01,1.000000000000000056e-01,2.000000000000000111e-01,0.000000000000000000e+00,5.999999999999999778e-01,2.100000000000000089e+00,2.200000000000000178e+00,2.299999999999999822e+00,1.800000000000000044e+00,2.600000000000000089e+00,8.000000000000000444e-01,2.100000000000000089e+00,4.599999999999999645e+00,8.000000000000000444e-01,3.200000000000000178e+00,nan,1.500000000000000000e+00,1.000000000000000056e-01,0.000000000000000000e+00,6.999999999999999556e-01,5.999999999999999778e-01
2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000056e-01,1.000000000000000056e-01,5.999999999999999778e-01,1.600000000000000089e+00,2.100000000000000089e+00,2.200000000000000178e+00,1.800000000000000044e+00,3.600000000000000089e+00,9.000000000000000222e-01,1.800000000000000044e+00,2.399999999999999911e+00,6.999999999999999556e-01,3.200000000000000178e+00,nan,1.300000000000000044e+00,1.000000000000000056e-01,0.000000000000000000e+00,6.999999999999999556e-01,5.999999999999999778e-01
2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000056e-01,2.000000000000000111e-01,6.999999999999999556e-01,1.399999999999999911e+00,2.100000000000000089e+00,2.000000000000000000e+00,1.800000000000000044e+00,2.900000000000000000e+01,9.000000000000000222e-01,1.600000000000000089e+00,2.100000000000000089e+00,6.999999999999999556e-01,2.500000000000000000e+00,nan,1.000000000000000000e+00,1.000000000000000056e-01,1.399999999999999911e+00,6.999999999999999556e-01,5.999999999999999778e-01
2.000000000000000111e-01,1.000000000000000056e-01,1.000000000000000056e-01,6.099999999999999645e+00,5.999999999999999778e-01,1.199999999999999956e+00,2.000000000000000000e+00,1.600000000000000089e+00,1.600000000000000089e+00,2.000000000000000000e+01,9.000000000000000222e-01,3.000000000000000000e+01,1.600000000000000089e+00,8.000000000000000444e-01,2.200000000000000178e+00,nan,9.000000000000000222e-01,1.000000000000000056e-01,2.999999999999999889e-01,6.999999999999999556e-01,5.999999999999999778e-01
2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,1.300000000000000044e+00,5.000000000000000000e-01,1.100000000000000089e+00,1.800000000000000044e+00,1.399999999999999911e+00,1.500000000000000000e+00,4.599999999999999645e+00,8.000000000000000444e-01,3.000000000000000000e+01,1.399999999999999911e+00,8.200000000000000000e+01,2.299999999999999822e+00,nan,9.000000000000000222e-01,1.000000000000000056e-01,4.000000000000000000e+01,1.399999999999999911e+00,5.999999999999999778e-01
2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,5.999999999999999778e-01,4.000000000000000222e-01,1.000000000000000000e+00,1.699999999999999956e+00,1.399999999999999911e+00,2.200000000000000178e+00,3.200000000000000178e+00,8.000000000000000444e-01,1.400000000000000000e+01,1.100000000000000089e+00,1.500000000000000000e+01,2.299999999999999822e+00,nan,8.000000000000000444e-01,1.000000000000000056e-01,6.000000000000000000e+00,4.700000000000000178e+00,5.999999999999999778e-01
2.000000000000000111e-01,2.000000000000000111e-01,2.000000000000000111e-01,5.000000000000000000e-01,5.000000000000000000e-01,1.200000000000000000e+01,1.600000000000000089e+00,1.100000000000000089e+00,2.600000000000000089e+00,3.000000000000000000e+00,3.399999999999999911e+00,1.800000000000000000e+01,9.000000000000000222e-01,1.800000000000000000e+01,2.100000000000000089e+00,nan,8.000000000000000444e-01,1.000000000000000056e-01,1.399999999999999911e+00,5.200000000000000178e+00,5.999999999999999778e-01
2.999999999999999889e-01,2.000000000000000111e-01,1.000000000000000056e-01,4.000000000000000222e-01,4.000000000000000222e-01,1.100000000000000000e+01,1.600000000000000089e+00,1.000000000000000000e+00,2.100000000000000089e+00,2.600000000000000089e+00,6.400000000000000355e+00,1.300000000000000000e+01,8.000000000000000444e-01,7.400000000000000355e+00,2.000000000000000000e+00,nan,8.000000000000000444e-01,1.000000000000000056e-01,8.000000000000000444e-01,3.399999999999999911e+00,6.999999999999999556e-01
2.999999999999999889e-01,2.000000000000000111e-01,2.000000000000000111e-01,2.999999999999999889e-01,4.000000000000000222e-01,1.000000000000000000e+01,1.600000000000000089e+00,9.000000000000000222e-01,1.800000000000000044e+00,2.200000000000000178e+00,1.600000000000000000e+01,5.100000000000000000e+01,8.000000000000000444e-01,4.400000000000000355e+00,4.900000000000000355e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,5.999999999999999778e-01,2.200000000000000178e+00,9.000000000000000222e-01
2.999999999999999889e-01,2.999999999999999889e-01,2.000000000000000111e-01,2.999999999999999889e-01,4.000000000000000222e-01,2.240000000000000000e+02,1.500000000000000000e+00,8.000000000000000444e-01,1.800000000000000044e+00,2.200000000000000178e+00,8.199999999999999289e+00,2.000000000000000000e+01,9.500000000000000000e+01,4.599999999999999645e+00,2.300000000000000000e+01,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.300000000000000044e+00,1.699999999999999956e+00,1.399999999999999911e+00
2.999999999999999889e-01,2.999999999999999889e-01,2.000000000000000111e-01,2.999999999999999889e-01,4.000000000000000222e-01,7.600000000000000000e+02,1.500000000000000000e+00,8.000000000000000444e-01,1.600000000000000089e+00,2.100000000000000089e+00,3.399999999999999911e+00,1.100000000000000000e+01,2.200000000000000000e+01,4.400000000000000355e+00,8.400000000000000355e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,2.400000000000000000e+01,1.500000000000000000e+00,1.100000000000000089e+00
5.000000000000000000e-01,2.999999999999999889e-01,1.000000000000000056e-01,2.000000000000000111e-01,4.000000000000000222e-01,5.780000000000000000e+02,1.399999999999999911e+00,6.999999999999999556e-01,1.600000000000000089e+00,2.100000000000000000e+01,4.900000000000000355e+00,8.199999999999999289e+00,6.700000000000000178e+00,3.200000000000000178e+00,5.599999999999999645e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,3.500000000000000000e+00,1.399999999999999911e+00,9.099999999999999645e+00
9.000000000000000222e-01,4.000000000000000222e-01,1.000000000000000056e-01,2.000000000000000111e-01,4.000000000000000222e-01,5.700000000000000000e+01,3.100000000000000089e+00,8.000000000000000444e-01,1.800000000000000044e+00,8.600000000000000000e+01,5.800000000000000000e+01,6.099999999999999645e+00,5.300000000000000000e+01,2.399999999999999911e+00,4.200000000000000178e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.699999999999999956e+00,1.300000000000000044e+00,8.800000000000000711e+00
4.000000000000000222e-01,5.000000000000000000e-01,1.000000000000000056e-01,2.000000000000000111e-01,4.000000000000000222e-01,1.430000000000000000e+02,3.000000000000000000e+00,1.100000000000000089e+00,1.600000000000000089e+00,5.400000000000000000e+01,9.800000000000000711e+00,5.400000000000000355e+00,2.900000000000000000e+01,2.100000000000000089e+00,5.599999999999999645e+00,nan,6.999999999999999556e-01,1.000000000000000056e-01,1.800000000000000044e+00,1.199999999999999956e+00,4.700000000000000178e+00
4.000000000000000222e-01,2.999999999999999889e-01,1.000000000000000056e-01,2.999999999999999889e-01,4.000000000000000222e-01,2.320000000000000000e+02,2.700000000000000178e+00,8.000000000000000444e-01,1.600000000000000089e+00,1.500000000000000000e+01,4.599999999999999645e+00,2.800000000000000000e+01,1.800000000000000000e+01,1.899999999999999911e+00,1.550000000000000000e+02,nan,8.000000000000000444e-01,1.000000000000000056e-01,3.300000000000000000e+01,1.100000000000000089e+00,2.500000000000000000e+00
4.000000000000000222e-01,1.000000000000000056e-01,1.000000000000000056e-01,2.000000000000000111e-01,4.000000000000000222e-01,1.370000000000000000e+02,2.000000000000000000e+01,8.000000000000000444e-01,1.500000000000000000e+00,4.200000000000000000e+01,3.200000000000000178e+00,1.800000000000000000e+01,1.800000000000000000e+01,2.399999999999999911e+00,4.900000000000000000e+01,nan,8.000000000000000444e-01,1.000000000000000056e-01,9.099999999999999645e+00,1.100000000000000089e+00,1.800000000000000044e+00
